model,cell,n,n_pos,auc,auc_ci,recall_high@0.5,recall_ci,abstain_rate,qhat,alpha,ood_abstain_rate
logistic_platt,base,6,2,1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",0.0,,,
logistic_platt,+cal,6,2,1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",0.0,,,
logistic_platt,+conformal,6,2,1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",0.0,0.16878447168592492,0.1,
logistic_platt,+ood,6,2,1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",0.0,0.16878447168592492,0.1,0.0
rf_calibrated,base,6,2,1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",0.0,,,
rf_calibrated,+cal,6,2,1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",0.0,,,
rf_calibrated,+conformal,6,2,1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",0.0,0.0,0.1,
rf_calibrated,+ood,6,2,1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",0.0,0.0,0.1,0.0
gbm_isotonic,base,6,2,0.5,"{'point': 0.5, 'mean': 0.5, 'std': 0.0, 'lo': 0.5, 'hi': 0.5, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",0.0,"{'point': 0.0, 'mean': 0.0, 'std': 0.0, 'lo': 0.0, 'hi': 0.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",0.0,,,
gbm_isotonic,+cal,6,2,0.5,"{'point': 0.5, 'mean': 0.5, 'std': 0.0, 'lo': 0.5, 'hi': 0.5, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",0.0,"{'point': 0.0, 'mean': 0.0, 'std': 0.0, 'lo': 0.0, 'hi': 0.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",0.0,,,
gbm_isotonic,+conformal,0,0,,,,,1.0,0.6166666666666667,0.1,
gbm_isotonic,+ood,0,0,,,,,1.0,0.6166666666666667,0.1,0.0
amoebanator_mlp,base,6,2,1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",0.0,,,
amoebanator_mlp,+cal,6,2,1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",0.0,,,
amoebanator_mlp,+conformal,6,2,1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",0.0,0.00016347935888916254,0.1,
amoebanator_mlp,+ood,6,2,1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",1.0,"{'point': 1.0, 'mean': 1.0, 'std': 0.0, 'lo': 1.0, 'hi': 1.0, 'alpha': 0.05, 'n_resamples': 2000, 'n_skipped': 0}",0.0,0.00016347935888916254,0.1,0.0
